generation,genome_hash,fidelity,family,horizon,n_features,score,sharpe_prevault,n_days,data_hash,panel_hash,config_hash,platform,parent_hash,birth_gen
4,5829e4120470,F0,seasonal_rule,63,0,0.8646352925308579,0.8646352925308579,3772,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,de8bfdd03738+de8bfdd03738,4
4,f12dfdcc4d75,F0,seasonal_rule,21,0,0.640729332973781,0.640729332973781,3772,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,d9640520052f,4
4,408b480f6011,F0,hgb,21,6,-0.8193739973584444,-0.7593739973584444,3229,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,,4
4,61a86562721b,F0,seasonal_rule,21,0,0.02994177386361758,0.02994177386361758,3772,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,,4
4,2c86d6e1a6b2,F0,hgb,63,11,0.05865860348951292,0.16865860348951292,3187,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,,4
4,5829e4120470,F1,seasonal_rule,63,0,0.990251311593801,0.990251311593801,5285,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,de8bfdd03738+de8bfdd03738,4
4,07c8d25b5198,F1,seasonal_rule,63,0,0.969226108111236,0.969226108111236,5285,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee+2caf8739fbee,4
4,2caf8739fbee,F1,seasonal_rule,63,0,0.9890071182206912,0.9890071182206912,5285,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
4,de8bfdd03738,F1,seasonal_rule,63,0,0.9890071182206912,0.9890071182206912,5285,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,3
4,1c27906465a1,F1,seasonal_rule,21,0,0.983076829632804,0.983076829632804,5285,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,2acc5486e987,3
4,2acc5486e987,F1,seasonal_rule,21,0,0.983076829632804,0.983076829632804,5285,4082c5de76861c88,473febb7e9ebb93b,1434ad9ce10cb1f6,x86_64linux,2acc5486e987+2acc5486e987,4
5,5829e4120470,F0,seasonal_rule,63,0,0.8646462867603842,0.8646462867603842,3772,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,de8bfdd03738+de8bfdd03738,4
5,2caf8739fbee,F0,seasonal_rule,63,0,0.7719156164494944,0.7719156164494944,3772,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
5,de8bfdd03738,F0,seasonal_rule,63,0,0.7719156164494944,0.7719156164494944,3772,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,3
5,db5483efbf03,F0,seasonal_rule,63,0,0.731839778802117,0.731839778802117,3772,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,5
5,8d25704ace62,F0,seasonal_rule,63,0,0.9240896158056535,0.9240896158056535,3772,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,5829e4120470,5
5,5c3e521c8e54,F0,ridge,63,4,0.16025565314151835,0.20025565314151836,3187,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,de8bfdd03738,5
5,e87702a09b81,F0,seasonal_rule,63,0,-0.1290317108564917,-0.1290317108564917,3772,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,de8bfdd03738,5
5,d11fe5948731,F0,seasonal_rule,63,0,0.7626569203601555,0.7626569203601555,3772,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,5829e4120470,5
5,2c0a90badcc5,F0,seasonal_rule,63,0,0.7107920891351189,0.7107920891351189,3772,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,de8bfdd03738,5
5,01881c39758f,F0,meanrev_rule,63,0,0.1935268549248977,0.1935268549248977,3772,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,,5
5,c088c84c44ff,F0,logistic,10,9,0.07512372079171015,0.16512372079171014,3240,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,,5
5,9f512fe34e75,F0,ridge,5,4,-0.6157197757962533,-0.5757197757962532,3245,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,,5
5,8d25704ace62,F1,seasonal_rule,63,0,0.9641332967444012,0.9641332967444012,5285,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,5829e4120470,5
5,5829e4120470,F1,seasonal_rule,63,0,0.9903309726583345,0.9903309726583345,5285,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,de8bfdd03738+de8bfdd03738,4
5,2caf8739fbee,F1,seasonal_rule,63,0,0.9890401891134513,0.9890401891134513,5285,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
5,de8bfdd03738,F1,seasonal_rule,63,0,0.9890401891134513,0.9890401891134513,5285,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,3
5,d11fe5948731,F1,seasonal_rule,63,0,0.9283769225857842,0.9283769225857842,5285,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,5829e4120470,5
5,db5483efbf03,F1,seasonal_rule,63,0,1.0278927246573677,1.0278927246573677,5285,4082c5de76861c88,fd82f7b9ead86584,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,5
6,db5483efbf03,F0,seasonal_rule,63,0,0.731839778802117,0.731839778802117,3772,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,2caf8739fbee,5
6,5829e4120470,F0,seasonal_rule,63,0,0.8646462867603842,0.8646462867603842,3772,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,de8bfdd03738+de8bfdd03738,4
6,2caf8739fbee,F0,seasonal_rule,63,0,0.7719156164494944,0.7719156164494944,3772,4082c5de76861c88,204176c93d88cb1e,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
